"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
2925303,"Lantana camara L.","Lantana camara","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Verbenaceae","Lantana","Lantana camara",6,7707728,220,408,6689,2925302,2925303,"Magnoliopsida",NA,NA,"Lantana camara",1
7322827,"Fuchsia regia (Vand. ex Vell.) Munz","Fuchsia regia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Myrtales","Onagraceae","Fuchsia","Fuchsia regia",6,7707728,220,690,2430,5938221,7322827,"Magnoliopsida",NA,NA,"Fuchsia regia",2
2910821,"Psychotria leiocarpa Cham. & Schltdl.","Psychotria leiocarpa","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Psychotria","Psychotria leiocarpa",6,7707728,220,412,8798,2919963,2910821,"Magnoliopsida",NA,NA,"Psychotria leiocarpa",3
5357552,"Inga sessilis Mart.","Inga sessilis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Inga","Inga sessilis",6,7707728,220,1370,5386,2965936,5357552,"Magnoliopsida",NA,NA,"Inga sessilis",4
2698018,"Aechmea distichantha Lem.","Aechmea distichantha","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Aechmea","Aechmea distichantha",6,7707728,196,1369,3740,2697812,2698018,"Liliopsida",NA,NA,"Aechmea distichantha",5
2698108,"Aechmea gamosepala Wittm.","Aechmea gamosepala","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Aechmea","Aechmea gamosepala",6,7707728,196,1369,3740,2697812,2698108,"Liliopsida",NA,NA,"Aechmea gamosepala",6
2698486,"Aechmea nudicaulis (L.) Griseb.","Aechmea nudicaulis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Aechmea","Aechmea nudicaulis",6,7707728,196,1369,3740,2697812,2698486,"Liliopsida",NA,NA,"Aechmea nudicaulis",7
4018392,"Aechmea vanhoutteana (Van Houtte) Mez","Aechmea vanhoutteana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Aechmea","Aechmea vanhoutteana",6,7707728,196,1369,3740,2697812,4018392,"Liliopsida",NA,NA,"Aechmea vanhoutteana",8
2753675,"Alstroemeria inodora Herb.","Alstroemeria inodora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliales","Alstroemeriaceae","Alstroemeria","Alstroemeria inodora",6,7707728,196,1172,7695,2753642,2753675,"Liliopsida",NA,NA,"Alstroemeria inodora",9
3779966,"Aphelandra colorata (Vell.) Wassh.","Aphelandra colorata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Aphelandra","Aphelandra colorata",6,7707728,220,408,2393,3173228,3779966,"Magnoliopsida",NA,NA,"Aphelandra colorata",10
3778472,"Aphelandra longiflora (Lindl.) Profice","Aphelandra longiflora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Aphelandra","Aphelandra longiflora",6,7707728,220,408,2393,3173228,3778472,"Magnoliopsida",NA,NA,"Aphelandra longiflora",11
3825263,"Besleria longimucronata Hoehne","Besleria longimucronata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Besleria","Besleria longimucronata",6,7707728,220,408,6654,6365035,3825263,"Magnoliopsida",NA,NA,"Besleria longimucronata",12
2693722,"Billbergia amoena (G.Lodd.) Lindl.","Billbergia amoena","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Billbergia","Billbergia amoena",6,7707728,196,1369,3740,2693699,2693722,"Liliopsida",NA,NA,"Billbergia amoena",13
7964197,"Callianthe rufinerva (A.St.-Hil.) Donnell","Callianthe rufinerva","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Callianthe","Callianthe rufinerva",6,7707728,220,941,6685,8207961,7964197,"Magnoliopsida",NA,NA,"Callianthe rufinerva",14
5303102,"Canna paniculata Ruiz & Pav.","Canna paniculata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Zingiberales","Cannaceae","Canna","Canna paniculata",6,7707728,196,627,8497,2762470,5303102,"Liliopsida",NA,NA,"Canna paniculata",15
5287653,"Canistrum perplexum L.B.Sm.","Canistrum perplexum","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Edmundoa","Edmundoa perplexa",6,7707728,196,1369,3740,2696519,2694281,"Liliopsida",2694281,NA,"Canistrum perplexum",16
5412613,"Centropogon cornutus (L.) Druce","Centropogon cornutus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Centropogon","Centropogon cornutus",6,7707728,220,414,8801,7815589,5412613,"Magnoliopsida",NA,NA,"Centropogon cornutus",17
2694326,"Edmundoa lindenii (Regel) Leme","Edmundoa lindenii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Edmundoa","Edmundoa lindenii",6,7707728,196,1369,3740,2696519,2694326,"Liliopsida",NA,NA,"Edmundoa lindenii",18
5349528,"Erythrina speciosa Andrews","Erythrina speciosa","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Erythrina","Erythrina speciosa",6,7707728,220,1370,5386,2945830,5349528,"Magnoliopsida",NA,NA,"Erythrina speciosa",19
3840008,"Macrocarpaea rubra Malme","Macrocarpaea rubra","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Gentianaceae","Macrocarpaea","Macrocarpaea rubra",6,7707728,220,412,2503,7269835,3840008,"Magnoliopsida",NA,NA,"Macrocarpaea rubra",20
5338405,"Manettia cordifolia Mart.","Manettia cordifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Manettia","Manettia cordifolia",6,7707728,220,412,8798,2906969,5338405,"Magnoliopsida",NA,NA,"Manettia cordifolia",21
7263437,"Mendoncia velloziana (Mart.) Nees","Mendoncia velloziana","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Mendoncia","Mendoncia velloziana",6,7707728,220,408,2393,7263432,7263437,"Magnoliopsida",NA,NA,"Mendoncia velloziana",22
7818856,"Mutisia speciosa Aiton ex Hook.","Mutisia speciosa","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Mutisia","Mutisia speciosa",6,7707728,220,414,3065,4934058,7818856,"Magnoliopsida",NA,NA,"Mutisia speciosa",23
5589380,"Nematanthus fluminensis (Vell.) Fritsch","Nematanthus fluminensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Nematanthus","Nematanthus fluminensis",6,7707728,220,408,6654,3233474,5589380,"Magnoliopsida",NA,NA,"Nematanthus fluminensis",24
5589365,"Nematanthus fritschii Hoehne","Nematanthus fritschii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Nematanthus","Nematanthus fritschii",6,7707728,220,408,6654,3233474,5589365,"Magnoliopsida",NA,NA,"Nematanthus fritschii",25
5589356,"Nematanthus gregarius D.L.Denham","Nematanthus gregarius","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Nematanthus","Nematanthus gregarius",6,7707728,220,408,6654,3233474,5589356,"Magnoliopsida",NA,NA,"Nematanthus gregarius",26
5589145,"Nematanthus sericeus (Hanst.) Chautems","Nematanthus sericeus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Nematanthus","Nematanthus sericeus",6,7707728,220,408,6654,3233474,5589145,"Magnoliopsida",NA,NA,"Nematanthus sericeus",27
2697762,"Nidularium innocentii Lem.","Nidularium innocentii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Nidularium","Nidularium innocentii",6,7707728,196,1369,3740,2697636,2697762,"Liliopsida",NA,NA,"Nidularium innocentii",28
2697686,"Nidularium longiflorum Ule","Nidularium longiflorum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Nidularium","Nidularium longiflorum",6,7707728,196,1369,3740,2697636,2697686,"Liliopsida",NA,NA,"Nidularium longiflorum",29
2697641,"Nidularium procerum Lindm.","Nidularium procerum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Nidularium","Nidularium procerum",6,7707728,196,1369,3740,2697636,2697641,"Liliopsida",NA,NA,"Nidularium procerum",30
2697693,"Nidularium rutilans É.Morren","Nidularium rutilans","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Nidularium","Nidularium rutilans",6,7707728,196,1369,3740,2697636,2697693,"Liliopsida",NA,NA,"Nidularium rutilans",31
4004650,"Psittacanthus dichroos (Mart.) Mart.","Psittacanthus dichroos","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Santalales","Loranthaceae","Psittacanthus","Psittacanthus dichroos",6,7707728,220,934,6663,7287854,4004650,"Magnoliopsida",NA,NA,"Psittacanthus dichroos",32
3172569,"Pyrostegia venusta (Ker Gawl.) Miers","Pyrostegia venusta","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Pyrostegia","Pyrostegia venusta",6,7707728,220,408,6655,3172568,3172569,"Magnoliopsida",NA,NA,"Pyrostegia venusta",33
3818296,"Sinningia cooperi (Paxton) Wiehler","Sinningia cooperi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Sinningia","Sinningia cooperi",6,7707728,220,408,6654,6365036,3818296,"Magnoliopsida",NA,NA,"Sinningia cooperi",34
3818181,"Sinningia elatior (Kunth) Chautems","Sinningia elatior","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Sinningia","Sinningia elatior",6,7707728,220,408,6654,6365036,3818181,"Magnoliopsida",NA,NA,"Sinningia elatior",35
3818064,"Sinningia glazioviana (Fritsch) Chautems","Sinningia glazioviana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Sinningia","Sinningia glazioviana",6,7707728,220,408,6654,6365036,3818064,"Magnoliopsida",NA,NA,"Sinningia glazioviana",36
3168562,"Siphocampylus convolvulaceus (Cham.) G.Don","Siphocampylus convolvulaceus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Siphocampylus","Siphocampylus convolvulaceus",6,7707728,220,414,8801,3168383,3168562,"Magnoliopsida",NA,NA,"Siphocampylus convolvulaceus",37
3168716,"Siphocampylus lauroanus Handro & M.Kuhlm.","Siphocampylus lauroanus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Siphocampylus","Siphocampylus lauroanus",6,7707728,220,414,8801,3168383,3168716,"Magnoliopsida",NA,NA,"Siphocampylus lauroanus",38
3168835,"Siphocampylus longipedunculatus Pohl","Siphocampylus longipedunculatus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Siphocampylus","Siphocampylus longipedunculatus",6,7707728,220,414,8801,3168383,3168835,"Magnoliopsida",NA,NA,"Siphocampylus longipedunculatus",39
4073016,"Spirotheca rivieri (Decne.) Ulbr.","Spirotheca rivieri","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Spirotheca","Spirotheca rivieri",6,7707728,220,941,6685,7296114,4073016,"Magnoliopsida",NA,NA,"Spirotheca rivieri",40
2694964,"Tillandsia dura Baker","Tillandsia dura","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia dura",6,7707728,196,1369,3740,8279994,2694964,"Liliopsida",NA,NA,"Tillandsia dura",41
2694812,"Tillandsia geminiflora Brongn.","Tillandsia geminiflora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia geminiflora",6,7707728,196,1369,3740,8279994,2694812,"Liliopsida",NA,NA,"Tillandsia geminiflora",42
2695068,"Tillandsia stricta Sol. ex Ker Gawl.","Tillandsia stricta","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia stricta",6,7707728,196,1369,3740,8279994,2695068,"Liliopsida",NA,NA,"Tillandsia stricta",43
5289330,"Vriesea carinata Wawra","Vriesea carinata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Vriesea","Vriesea carinata",6,7707728,196,1369,3740,2699764,5289330,"Liliopsida",NA,NA,"Vriesea carinata",44
5289121,"Vriesea erythrodactylon (É.Morren) É.Morren ex Mez","Vriesea erythrodactylon","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Vriesea","Vriesea erythrodactylon",6,7707728,196,1369,3740,2699764,5289121,"Liliopsida",NA,NA,"Vriesea erythrodactylon",45
5289200,"Vriesea incurvata Gaudich.","Vriesea incurvata","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Vriesea","Vriesea incurvata",6,7707728,196,1369,3740,2699764,5289200,"Liliopsida",NA,NA,"Vriesea incurvata",46
5289197,"Vriesea inflata (Wawra) Wawra","Vriesea inflata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Vriesea","Vriesea inflata",6,7707728,196,1369,3740,2699764,5289197,"Liliopsida",NA,NA,"Vriesea inflata",47
5289352,"Vriesea simplex (Vell.) Beer","Vriesea simplex","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Vriesea","Vriesea simplex",6,7707728,196,1369,3740,2699764,5289352,"Liliopsida",NA,NA,"Vriesea simplex",48
2694283,"Wittrockia superba Lindm.","Wittrockia superba","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Wittrockia","Wittrockia superba",6,7707728,196,1369,3740,2699264,2694283,"Liliopsida",NA,NA,"Wittrockia superba",49
2993439,"Rubus rosaefolius Sm.","Rubus rosaefolius","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Rosales","Rosaceae","Rubus","Rubus rosifolius",6,7707728,220,691,5015,2988638,8234521,"Magnoliopsida",7794187,NA,"Rubus rosaefolius",50
7263751,"Geissomeria schottiana Nees","Geissomeria schottiana","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Aphelandra","Aphelandra schottiana",6,7707728,220,408,2393,3173228,3777043,"Magnoliopsida",3777043,NA,"Geissomeria schottiana",51
3768983,"Justicia scheidweileri V.A.W.Graham","Justicia scheidweileri","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Justicia","Justicia scheidweileri",6,7707728,220,408,2393,2904597,3768983,"Magnoliopsida",NA,NA,"Justicia scheidweileri",52
5415377,"Ruellia brevifolia (Pohl) C.Ezcurra","Ruellia brevifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Ruellia","Ruellia brevifolia",6,7707728,220,408,2393,3171840,5415377,"Magnoliopsida",NA,NA,"Ruellia brevifolia",53
7701121,"Ruellia subsessilis (Nees) Lindau","Ruellia subsessilis","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Ruellia","Ruellia subsessilis",6,7707728,220,408,2393,3171840,7701121,"Magnoliopsida",NA,NA,"Ruellia subsessilis",54
5668574,"Fridericia speciosa Mart.","Fridericia speciosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Fridericia","Fridericia speciosa",6,7707728,220,408,6655,3233562,5668574,"Magnoliopsida",NA,NA,"Fridericia speciosa",55
3882782,"Hyptis asperrima (Spreng.) Epling","Hyptis asperrima","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Lamiales","Lamiaceae","Hyptidendron","Hyptidendron asperrimum",6,7707728,220,408,2497,7306645,3883600,"Magnoliopsida",3883600,NA,"Hyptis asperrima",57
2801418,"Corymborkis flava (Sw.) Kuntze","Corymborkis flava","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asparagales","Orchidaceae","Corymborkis","Corymborkis flava",6,7707728,196,1169,7689,2801403,2801418,"Liliopsida",NA,NA,"Corymborkis flava",58
3586975,"Passiflora kermesina Link & Otto","Passiflora kermesina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malpighiales","Passifloraceae","Passiflora","Passiflora kermesina",6,7707728,220,1414,2378,2874172,3586975,"Magnoliopsida",NA,NA,"Passiflora kermesina",59
3588401,"Passiflora speciosa Gardner","Passiflora speciosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malpighiales","Passifloraceae","Passiflora","Passiflora speciosa",6,7707728,220,1414,2378,2874172,3588401,"Magnoliopsida",NA,NA,"Passiflora speciosa",60
2958715,"Caesalpinia pulcherrima (L.) Sw.","Caesalpinia pulcherrima","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Caesalpinia","Caesalpinia pulcherrima",6,7707728,220,1370,5386,2958443,2958715,"Magnoliopsida",NA,NA,"Caesalpinia pulcherrima",61
2943066,"Pithecellobium mangense (Jacq.) J.F.Macbr.","Pithecellobium mangense","SPECIES","SYNONYM",96,"FUZZY","Plantae","Tracheophyta","Fabales","Fabaceae","Chloroleucon","Chloroleucon mangense",6,7707728,220,1370,5386,2943030,2943053,"Magnoliopsida",2943053,NA,"Pithecellobium mangens",62
7309381,"Vitex mollis Kunth","Vitex mollis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex mollis",6,7707728,220,408,2497,2925556,7309381,"Magnoliopsida",NA,NA,"Vitex mollis",64
7327057,"Combretum farinosum Kunth","Combretum farinosum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Myrtales","Combretaceae","Combretum","Combretum farinosum",6,7707728,220,690,2431,2986357,7327057,"Magnoliopsida",NA,NA,"Combretum farinosum",65
5660720,"Cordia seleriana Fernald","Cordia seleriana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Boraginales","Cordiaceae","Cordia","Cordia seleriana",6,7707728,220,7226464,4930453,2900865,5660720,"Magnoliopsida",NA,NA,"Cordia seleriana",66
8429266,"Hamelia versicolor A.Gray ex S.Watson","Hamelia versicolor","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Hamelia","Hamelia versicolor",6,7707728,220,412,8798,2902033,8429266,"Magnoliopsida",NA,NA,"Hamelia versicolor",67
5406696,"Ceiba aesculifolia (Kunth) Britten & Baker fil.","Ceiba aesculifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba","Ceiba aesculifolia",6,7707728,220,941,6685,3152218,5406696,"Magnoliopsida",NA,NA,"Ceiba aesculifolia",68
3774935,"Justicia mexicana (Seem.) Rose","Justicia mexicana","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Dianthera","Dianthera candelariae",6,7707728,220,408,2393,7263236,5573499,"Magnoliopsida",5573499,NA,"Justicia mexicana",69
5619897,"Opuntia excelsa Sánchez-Mej.","Opuntia excelsa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Caryophyllales","Cactaceae","Opuntia","Opuntia excelsa",6,7707728,220,422,2519,3084187,5619897,"Magnoliopsida",NA,NA,"Opuntia excelsa",70
2695912,"Tillandsia paucifolia Baker","Tillandsia paucifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia paucifolia",6,7707728,196,1369,3740,8279994,2695912,"Liliopsida",NA,NA,"Tillandsia paucifolia",71
2695630,"Tillandsia dasyliriifolia Baker","Tillandsia dasyliriifolia","SPECIES","ACCEPTED",93,"FUZZY","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia dasyliriifolia",6,7707728,196,1369,3740,8279994,2695630,"Liliopsida",NA,NA,"Tillandsia dasyrifolia",72
2694695,"Tillandsia bartramii Elliott","Tillandsia bartramii","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia bartramii",6,7707728,196,1369,3740,8279994,2694695,"Liliopsida",NA,NA,"Tillandsia bartramii",73
7287917,"Psittacanthus calyculatus (DC.) G.Don","Psittacanthus calyculatus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Santalales","Loranthaceae","Psittacanthus","Psittacanthus calyculatus",6,7707728,220,934,6663,7287854,7287917,"Magnoliopsida",NA,NA,"Psittacanthus calyculatus",74
7684493,"Nopalea karwinskiana F.A.C.Weber, 1898","Nopalea karwinskiana","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Caryophyllales","Cactaceae","Nopalea","Nopalea karwinskiana",6,7707728,220,422,2519,7280941,7684493,"Magnoliopsida",NA,NA,"Nopalea karwinskiana",75
5349576,"Erythrina lanata Rose","Erythrina lanata","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Erythrina","Erythrina lanata",6,7707728,220,1370,5386,2945830,5349576,"Magnoliopsida",NA,NA,"Erythrina lanata",76
3172539,"Tabebuia donnell-smithii Rose","Tabebuia donnell-smithii","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Roseodendron","Roseodendron donnell-smithii",6,7707728,220,408,6655,6401220,3172541,"Magnoliopsida",3172541,NA,"Tabebuia donnell-smithii",77
2928562,"Ipomoea quamoclit L.","Ipomoea quamoclit","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Solanales","Convolvulaceae","Ipomoea","Ipomoea quamoclit",6,7707728,220,1176,2389,2928509,2928562,"Magnoliopsida",NA,NA,"Ipomoea quamoclit",78
7997741,"Ipomoea bracteata Cav.","Ipomoea bracteata","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Solanales","Convolvulaceae","Ipomoea","Ipomoea bracteata",6,7707728,220,1176,2389,2928509,7997741,"Magnoliopsida",NA,NA,"Ipomoea bracteata",79
4927180,"Ipomoea wolcottiana Rose","Ipomoea wolcottiana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Solanales","Convolvulaceae","Ipomoea","Ipomoea wolcottiana",6,7707728,220,1176,2389,2928509,4927180,"Magnoliopsida",NA,NA,"Ipomoea wolcottiana",80
3781871,"Justicia sebastianopolitanae Profice","Justicia sebastianopolitanae","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Justicia","Justicia sebastianopolitanae",6,7707728,220,408,2393,2904597,3781871,"Magnoliopsida",NA,NA,"Justicia sebastianopolitanae",81
8009060,"Odontonema barlerioides (Nees) Kuntze","Odontonema barlerioides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Odontonema","Odontonema barlerioides",6,7707728,220,408,2393,8198957,8009060,"Magnoliopsida",NA,NA,"Odontonema barlerioides",82
3774162,"Staurogyne itatiaiae (Wawra) Leonard","Staurogyne itatiaiae","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Acanthaceae","Staurogyne","Staurogyne itatiaiae",6,7707728,220,408,2393,7263564,3774162,"Magnoliopsida",NA,NA,"Staurogyne itatiaiae",83
2754028,"Bomarea edulis (Tussac) Herb.","Bomarea edulis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliales","Alstroemeriaceae","Bomarea","Bomarea edulis",6,7707728,196,1172,7695,2753928,2754028,"Liliopsida",NA,NA,"Bomarea edulis",84
2854386,"Hippeastrum aulicum (Ker Gawl.) Herb.","Hippeastrum aulicum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Hippeastrum","Hippeastrum aulicum",6,7707728,196,1169,7682,2854235,2854386,"Liliopsida",NA,NA,"Hippeastrum aulicum",85
7289469,"Billbergia distachia (Vell.) Mez","Billbergia distachia","SPECIES","ACCEPTED",95,"FUZZY","Plantae","Tracheophyta","Poales","Bromeliaceae","Billbergia","Billbergia distachia",6,7707728,196,1369,3740,2693699,7289469,"Liliopsida",NA,NA,"Billbergia distachya",86
2697685,"Nidularium itatiaiae L.B.Sm.","Nidularium itatiaiae","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Nidularium","Nidularium itatiaiae",6,7707728,196,1369,3740,2697636,2697685,"Liliopsida",NA,NA,"Nidularium itatiaiae",87
4018555,"Quesnelia augustocoburgi Wawra","Quesnelia augustocoburgi","SPECIES","ACCEPTED",96,"FUZZY","Plantae","Tracheophyta","Poales","Bromeliaceae","Quesnelia","Quesnelia augustocoburgi",6,7707728,196,1369,3740,2696521,4018555,"Liliopsida",NA,NA,"Quesnelia augusto-coburgii",89
2695026,"Tillandsia gardneri Lindl.","Tillandsia gardneri","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Tillandsia","Tillandsia gardneri",6,7707728,196,1369,3740,8279994,2695026,"Liliopsida",NA,NA,"Tillandsia gardneri",90
5289398,"Vriesea longicaulis (Baker) Mez","Vriesea longicaulis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Vriesea","Vriesea longicaulis",6,7707728,196,1369,3740,2699764,5289398,"Liliopsida",NA,NA,"Vriesea longicaulis",91
7274272,"Siphocampylus longepedunculatus Pohl","Siphocampylus longepedunculatus","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Siphocampylus","Siphocampylus longipedunculatus",6,7707728,220,414,8801,3168383,3168835,"Magnoliopsida",3168835,NA,"Siphocampylus longepedunculatus",92
6365200,"Nematanthus crassifolius (Schott) Wiehler","Nematanthus crassifolius","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Nematanthus","Nematanthus crassifolius",6,7707728,220,408,6654,3233474,6365200,"Magnoliopsida",NA,NA,"Nematanthus crassifolius",93
5589374,"Nematanthus fornix (Vell.) Chautems","Nematanthus fornix","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Nematanthus","Nematanthus fornix",6,7707728,220,408,6654,3233474,5589374,"Magnoliopsida",NA,NA,"Nematanthus fornix",94
